"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT07","WT08","WT09","WT11","WT13","WT14","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-01","0.00","0.0","0.0",,"71","51",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-02","0.00","0.0","0.0",,"70","50",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-03","0.00","0.0","0.0",,"73","55",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-04","0.00","0.0","0.0",,"76","52",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-05","0.00","0.0","0.0",,"79","53",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-06","0.00","0.0","0.0",,"83","58",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-07","0.00","0.0","0.0",,"90","56",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-08","0.00","0.0","0.0",,"77","56",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-09","0.01","0.0","0.0",,"66","57",,,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-10","0.01","0.0","0.0",,"68","53","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-11","0.00","0.0","0.0",,"68","48",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-12","0.00","0.0","0.0",,"72","50",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-13","0.00","0.0","0.0",,"82","53",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-14","0.00","0.0","0.0",,"79","52",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-15","0.00","0.0","0.0",,"72","52",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-16","0.00","0.0","0.0",,"76","49",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-17","0.00","0.0","0.0",,"82","53","    1",,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-18","0.00","0.0","0.0",,"82","53",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-19","0.00","0.0","0.0",,"75","53","    1","    1",,,,,"    1",,,"    1",,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-20","0.00","0.0","0.0",,"67","50",,"    1",,,,,"    1",,,"    1",,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-21","0.00","0.0","0.0",,"61","55",,,,,,,,,,,"    1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-22","0.01","0.0","0.0",,"67","53","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-23","0.00","0.0","0.0",,"67","50","    1",,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-24","0.00","0.0","0.0",,"70","50","    1",,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-25","0.00","0.0","0.0",,"67","52",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-26","0.00","0.0","0.0",,"67","49","    1",,,,,,"    1",,,"    1",,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-27","0.00","0.0","0.0",,"73","50","    1","    1",,,,,"    1",,,"    1",,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-28","0.00","0.0","0.0",,"77","54",,,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-29","0.00","0.0","0.0",,"69","54",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-09-30","0.00","0.0","0.0",,"70","46",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-01","0.00","0.0","0.0",,"74","48",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-02","0.00","0.0","0.0",,"64","50",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-03","0.00","0.0","0.0",,"66","46",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-04","0.00","0.0","0.0",,"66","47",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-05","0.00","0.0","0.0",,"71","48",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-06","0.00","0.0","0.0",,"75","46",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-07","0.00","0.0","0.0",,"75","46",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-08","0.00","0.0","0.0",,"70","46",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-09","0.00","0.0","0.0",,"61","48",,,,,,,,,,"    1",,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-10","0.00","0.0","0.0",,"54","47",,"    1",,,,,"    1",,,"    1",,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-11","0.00","0.0","0.0",,"57","45","    1",,,,,,"    1",,,"    1",,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-12","0.08","0.0","0.0",,"57","48","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-13","0.19","0.0","0.0",,"60","54","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-14","0.65","0.0","0.0",,"64","56","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-15","0.31","0.0","0.0",,"63","52","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-16","0.00","0.0","0.0",,"61","47",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-17","0.00","0.0","0.0",,"58","43",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-18","0.82","0.0","0.0",,"64","44","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-19","0.19","0.0","0.0",,"59","49","    1",,,,,,,,,"    1","    1","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-20","0.02","0.0","0.0",,"52","43",,,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-21","0.25","0.0","0.0",,"53","40","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-22","0.35","0.0","0.0",,"46","38","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-23","0.00","0.0","0.0",,"52","42",,,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-24","0.28","0.0","0.0",,"53","43","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-25","0.00","0.0","0.0",,"53","44",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-26","0.06","0.0","0.0",,"52","45","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-27","0.91","0.0","0.0",,"58","49",,,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-28","0.24","0.0","0.0",,"58","50","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-29","0.43","0.0","0.0",,"60","50","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-30","1.36","0.0","0.0",,"59","54","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-10-31","0.57","0.0","0.0",,"60","52","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-01","0.38","0.0","0.0",,"59","51","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-02","0.22","0.0","0.0",,"59","51","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-03","0.02","0.0","0.0",,"60","52","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-04","0.32","0.0","0.0",,"64","55","    1",,,,,,,,,"    1","    1","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-05","0.03","0.0","0.0",,"59","46","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-06","0.01","0.0","0.0",,"55","44","    1","    1",,,,,"    1",,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-07","0.00","0.0","0.0",,"54","39",,,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-08","0.00","0.0","0.0",,"50","34",,,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-09","0.00","0.0","0.0",,"48","34","    1",,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-10","0.00","0.0","0.0",,"46","31",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-11","0.60","0.0","0.0",,"48","34","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-12","0.14","0.0","0.0",,"55","43","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-13","0.21","0.0","0.0",,"52","46","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-14","0.03","0.0","0.0",,"52","41","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-15","0.00","0.0","0.0",,"49","37","    1","    1",,,,,,,,"    1",,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-16","0.22","0.0","0.0",,"49","36",,"    1",,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-17","0.24","0.0","0.0",,"54","43","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-18","0.31","0.0","0.0",,"50","43",,,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-19","2.13","0.0","0.0",,"56","47","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-20","0.15","0.0","0.0",,"52","45","    1",,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-21","0.44","0.0","0.0",,"47","39","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-22","0.00","0.0","0.0",,"48","37",,,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-23","1.26","0.0","0.0",,"49","43","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-24","0.00","0.0","0.0",,"48","39",,,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-25","0.00","0.0","0.0",,"47","34","    1","    1",,,,,,,,"    1",,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-26","0.00","0.0","0.0",,"49","35","    1",,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-27","0.00","0.0","0.0",,"50","35",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-28","0.11","0.0","0.0",,"49","36","    1",,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-29","0.06","0.0","0.0",,"55","46",,,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-11-30","1.40","0.0","0.0",,"59","46","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-01","0.16","0.0","0.0",,"56","47",,,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-02","0.77","0.0","0.0",,"47","45","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-03","0.51","0.0","0.0",,"49","45","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-04","0.56","0.0","0.0",,"53","45","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-05","0.06","0.0","0.0",,"48","40",,,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-06","0.06","0.0","0.0",,"45","43","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-07","0.04","0.0","0.0",,"46","38",,,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-08","0.00","0.0","0.0",,"44","38",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-09","0.06","0.0","0.0",,"44","37","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-10","0.02","0.0","0.0",,"45","42","    1","    1",,,,,,,,,"    1","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-11","0.12","0.0","0.0",,"46","42","    1",,,,,,,,,"    1","    1","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-12","0.32","0.0","0.0",,"44","40","    1",,,,,,,,,"    1","    1","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-13","0.09","0.0","0.0",,"45","38","    1",,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-14","0.31","0.0","0.0",,"43","34","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-15","0.21","0.0","0.0",,"40","33","    1",,,,,,,,,"    1",,"    1",,"    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-16","0.89","0.0","0.0",,"44","38","    1",,,,,,,,,"    1",,"    1",,"    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-17","0.08","0.0","0.0",,"47","35",,,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-18","0.13","0.6","1.0",,"39","33","    1",,,,,,,,,"    1",,"    1",,"    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-19","0.54","0.0","0.0",,"47","35",,,,,,,,,,,,"    1",,"    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-20","0.52","0.0","0.0",,"45","33","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-21","0.07","0.0","0.0",,"47","29",,,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-22","0.13","0.0","0.0",,"47","39","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-23","0.26","0.0","0.0",,"45","38","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-24","0.01","0.0","0.0",,"42","37","    1",,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-25","0.53","0.0","0.0",,"42","37","    1",,,,,,,,,"    1",,"    1",,"    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-26","0.18","0.0","0.0",,"44","38","    1",,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-27","0.16","0.0","0.0",,"46","38","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-28","0.00","0.0","0.0",,"47","39",,,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-29","0.06","0.0","0.0",,"41","38","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-30","0.00","0.0","0.0",,"40","32","    1","    1",,,,,,,,"    1",,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-31","0.00","0.0","0.0",,"38","30",,,,,,,,,,"    1",,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-01","0.00","0.0","0.0",,"41","27",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-02","0.00","0.0","0.0",,"43","30",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-03","0.16","0.0","0.0",,"44","29","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-04","0.10","0.0","0.0",,"50","36","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-05","0.12","0.0","0.0",,"44","40","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-06","0.08","0.0","0.0",,"45","37","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-07","0.09","0.0","0.0",,"50","40",,,,,,,"    1",,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-08","0.64","0.0","0.0",,"53","42","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-09","1.51","0.0","0.0",,"50","35","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-10","0.01","0.0","0.0",,"38","31",,"    1",,,,,,,,,,"    1",,"    1",,,"    1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-11","0.00","0.0","0.0",,"37","27",,"    1",,,,,,,,"    1",,,,,,,"    1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-12","0.00","0.0","0.0",,"37","25",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-13","0.00","0.0","0.0",,"36","24",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-14","0.00","0.0","0.0",,"38","28",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-15","0.00","0.0","0.0",,"44","31",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-16","0.00","0.0","0.0",,"43","25",,"    1",,,,,,,,"    1",,,,,,,"    1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-17","0.00","0.0","0.0",,"39","27",,"    1",,,,,,,,"    1",,,,,,,"    1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-18","0.00","0.0","0.0",,"38","30",,"    1",,,,,,,,"    1",,,,,,,"    1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-19","0.00","0.0","0.0",,"34","31","    1","    1",,,,,,,,"    1",,,,,,,"    1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-20","0.00","0.0","0.0",,"38","31",,"    1",,,,,,,,"    1",,,,,,,"    1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-21","0.00","0.0","0.0",,"36","29",,"    1",,,,,,,,"    1",,,,,,,"    1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-22","0.00","0.0","0.0",,"38","29",,"    1",,,,,"    1",,,"    1",,,,,,,"    1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-23","0.20","0.0","0.0",,"45","36","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-24","0.23","0.0","0.0",,"45","34","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-25","0.12","0.0","0.0",,"51","37","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-26","0.09","0.0","0.0",,"47","39","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-27","0.07","0.0","0.0",,"42","39","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-28","0.31","0.0","0.0",,"43","38","    1",,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-29","0.17","0.0","0.0",,"47","41","    1",,,,,,,,,"    1","    1","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-30","0.14","0.0","0.0",,"48","44",,,,,,,,,,"    1","    1","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-31","0.12","0.0","0.0",,"49","45",,,,,,,,,,"    1","    1","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-01","0.01","0.0","0.0",,"53","41","    1",,,,,,"    1",,,,"    1","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-02","0.00","0.0","0.0",,"43","37","    1","    1",,,,,,,,"    1",,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-03","0.09","0.0","0.0",,"48","37",,"    1",,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-04","0.00","0.0","0.0",,"51","44",,,,,,,"    1",,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-05","0.13","0.0","0.0",,"50","44","    1",,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-06","0.04","0.0","0.0",,"51","43",,,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-07","0.05","0.0","0.0",,"49","38",,,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-08","0.00","0.0","0.0",,"46","36",,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-09","0.01","0.0","0.0",,"47","40","    1",,,,,,,,,"    1","    1","    1",,,,,
